,Player,Pos,Age,Date,Lg,Tm,Unnamed: 7,Opp,Result,G#,Week,Day,Tgt,Rec,Rec Yds,Y/Rec,Rec TDs,Ctch%,Y/Tgt
174,Vernon Davis,TE,34.221,9/9/2018,NFL,WAS,@,ARI,W 24-6,1,1,Sun,1,1,9,9.0,0,100.0,9.0
175,Wayne Gallman,RB,23.343000000000004,9/9/2018,NFL,NYG,,JAX,L 15-20,1,1,Sun,2,2,9,4.5,0,100.0,4.5
176,Michael Gallup,WR,22.158,9/9/2018,NFL,DAL,@,CAR,L 8-16,1,1,Sun,1,1,9,9.0,0,100.0,9.0
177,Tyler Kroft,TE,25.329,9/9/2018,NFL,CIN,@,IND,W 34-23,1,1,Sun,1,1,9,9.0,0,100.0,9.0
178,David Morgan,TE,25.113000000000003,9/9/2018,NFL,MIN,,SFO,W 24-16,1,1,Sun,1,1,9,9.0,0,100.0,9.0
179,Dion Sims,TE,27.203000000000003,9/9/2018,NFL,CHI,@,GNB,L 23-24,1,1,Sun,3,2,9,4.5,0,66.7,3.0
180,Jimmy Graham,TE,31.289,9/9/2018,NFL,GNB,,CHI,W 24-23,1,1,Sun,4,2,8,4.0,0,50.0,2.0
181,Duke Johnson,RB,24.351,9/9/2018,NFL,CLE,,PIT,T 21-21,1,1,Sun,6,1,8,8.0,0,16.7,1.33
182,Marshawn Lynch,RB,32.141,9/10/2018,NFL,OAK,,LAR,L 13-33,1,1,Mon,2,2,8,4.0,0,100.0,4.0
183,Spencer Ware,RB,26.29,9/9/2018,NFL,KAN,@,LAC,W 38-28,1,1,Sun,1,1,8,8.0,0,100.0,8.0
184,Tyrell Williams,LCB,26.209,9/9/2018,NFL,LAC,,KAN,L 28-38,1,1,Sun,5,2,8,4.0,1,40.0,1.6
185,Jaron Brown,WR,28.244,9/9/2018,NFL,SEA,@,DEN,L 24-27,1,1,Sun,3,1,7,7.0,0,33.3,2.33
186,Jeremy Kerley,WR,29.305,9/9/2018,NFL,BUF,@,BAL,L 3-47,1,1,Sun,4,2,7,3.5,0,50.0,1.75
187,Tre Madden,FB,25.024,9/9/2018,NFL,SEA,@,DEN,L 24-27,1,1,Sun,1,1,7,7.0,0,100.0,7.0
188,Levine Toilolo,TE,27.041999999999998,9/10/2018,NFL,DET,,NYJ,L 17-48,1,1,Mon,1,1,7,7.0,0,100.0,7.0
189,Eric Tomlinson,TE,26.141,9/10/2018,NFL,NYJ,@,DET,W 48-17,1,1,Mon,1,1,7,7.0,0,100.0,7.0
190,Michael Burton,FB,26.22,9/9/2018,NFL,CHI,@,GNB,L 23-24,1,1,Sun,1,1,6,6.0,0,100.0,6.0
191,Trenton Cannon,RB,24.049,9/10/2018,NFL,NYJ,@,DET,W 48-17,1,1,Mon,1,1,6,6.0,0,100.0,6.0
192,Alex Collins,RB,24.014,9/9/2018,NFL,BAL,,BUF,W 47-3,1,1,Sun,1,1,6,6.0,0,100.0,6.0
193,Tyler Conklin,TE,23.041,9/9/2018,NFL,MIN,,SFO,W 24-16,1,1,Sun,1,1,6,6.0,0,100.0,6.0
194,Jeremy Hill,RB,25.324,9/9/2018,NFL,NWE,,HOU,W 27-20,1,1,Sun,1,1,6,6.0,0,100.0,6.0
195,Justin Hunter,WR,27.112,9/9/2018,NFL,PIT,@,CLE,T 21-21,1,1,Sun,5,1,6,6.0,0,20.0,1.2
196,T.J. Jones,WR,26.053,9/10/2018,NFL,DET,,NYJ,L 17-48,1,1,Mon,3,1,6,6.0,0,33.3,2.0
197,Travis Kelce,TE,28.339000000000002,9/9/2018,NFL,KAN,@,LAC,W 38-28,1,1,Sun,6,1,6,6.0,0,16.7,1.0
198,Cordarrelle Patterson,WR,27.176,9/9/2018,NFL,NWE,,HOU,W 27-20,1,1,Sun,1,1,6,6.0,0,100.0,6.0
199,Terrance Williams,WR,29.000999999999998,9/9/2018,NFL,DAL,@,CAR,L 8-16,1,1,Sun,2,1,6,6.0,0,50.0,3.0
200,Matt Breida,RB,23.193,9/9/2018,NFL,SFO,@,MIN,L 16-24,1,1,Sun,2,1,5,5.0,0,50.0,2.5
201,Rex Burkhead,RB,28.069000000000003,9/9/2018,NFL,NWE,,HOU,W 27-20,1,1,Sun,3,1,5,5.0,0,33.3,1.67
202,Derrick Henry,RB,24.248,9/9/2018,NFL,TEN,@,MIA,L 20-27,1,1,Sun,1,1,5,5.0,0,100.0,5.0
203,Chris Moore,WR,25.085,9/9/2018,NFL,BAL,,BUF,W 47-3,1,1,Sun,1,1,5,5.0,0,100.0,5.0
204,Bilal Powell,RB,29.318,9/10/2018,NFL,NYJ,@,DET,W 48-17,1,1,Mon,2,1,5,5.0,0,50.0,2.5
205,Hakeem Valles,TE,25.291,9/10/2018,NFL,DET,,NYJ,L 17-48,1,1,Mon,2,1,5,5.0,0,50.0,2.5
